2017-12-13 14:32:07,077 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-12-13 14:34:18,701 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-12-13 14:34:18,727 [Worker-20] WARN  org.eclipse.jgit.util.FS - Exception caught during execution of command '[git, --version]' in '/usr/bin', return code '1', error message 'xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools), missing xcrun at: /Library/Developer/CommandLineTools/usr/bin/xcrun
'
2017-12-13 14:34:19,383 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.htw.messenger:chatclient:1.0-SNAPSHOT @ /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/pom.xml.
2017-12-13 14:34:19,999 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Heartbeat_Client/src/main/java
2017-12-13 14:34:20,000 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Heartbeat_Client/src/test/java
2017-12-13 14:34:20,657 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:34:20,658 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 14:34:20,659 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:34:20,660 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-13 14:34:20,771 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2017-12-13 14:34:21,697 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:34:21,698 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 14:34:21,699 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:34:21,700 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-13 14:37:42,560 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:37:42,561 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 14:37:42,562 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:37:42,563 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-13 14:38:19,194 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:38:19,194 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 14:38:19,195 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 14:38:19,196 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-13 15:08:50,211 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 15:08:50,212 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 15:08:50,213 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 15:08:50,213 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
2017-12-13 15:49:07,315 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 15:49:07,316 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/main/resources
2017-12-13 15:49:07,317 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-13 15:49:07,317 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/teresalasarow/Eclipse_WorkSpace/Verteilte Systeme/HeartBeatProject/Heartbeat_Client/src/test/resources
